"Student Average Daily Attendance/Average Daily Membership by District",,,,,,,
2012-13,,,,,,,
,,,,,,,
Dist#,District,"Days Present","Days Absent",Total,"Percent Present","Average Daily Attendance","Average Daily Membership"
0,FLORIDA,455048769,27587404,482636173,"0,9428401650284095",,
01,ALACHUA,4638402,289751,4928153,"0,9412049504144859",25769,27379
02,BAKER,816883,68186,885069,"0,9229596788498976",4538,4917
03,BAY,4410771,299974,4710745,"0,936321324970891",24504,26171
04,BRADFORD,500433,41304,541737,"0,9237563614816784",2780,3010
05,BREVARD,12088551,614073,12702624,"0,9516577834626925",67159,70570
06,BROWARD,43605470,3007580,46613050,"0,9354777256583725",242253,258961
07,CALHOUN,380179,28883,409062,"0,9293921214876962",2112,2273
08,CHARLOTTE,2792252,137923,2930175,"0,9529301150955147",15513,16279
09,CITRUS,2573170,182103,2755273,"0,9339074567202597",14295,15307
10,CLAY,5986817,343936,6330753,"0,9456721814924701",33260,35171
11,COLLIER,7583424,332071,7915495,"0,9580479805748093",42130,43975
12,COLUMBIA,1630056,118323,1748379,"0,9323241699883149",9056,9713
13,DADE,59818301,3509040,63327341,"0,9445888624946371",332324,351819
14,DESOTO,820694,50164,870858,"0,942397038323125",4559,4838
15,DIXIE,348794,37444,386238,"0,9030545932818624",1938,2146
16,DUVAL,21711403,1003978,22715381,"0,9558018419325655",120619,126197
17,ESCAMBIA,6836257,459754,7296011,"0,9369855664965417",37979,40533
18,FLAGLER,2154529,123970,2278499,"0,9455913739703199",11970,12658
19,FRANKLIN,226761,21882,248643,"0,9119943050880177",1260,1381
20,GADSDEN,1025858,53826,1079684,"0,950146524353422",5699,5998
21,GILCHRIST,427503,35033,462536,"0,9242588684988844",2375,2570
22,GLADES,260969,10228,271197,"0,9622857184998359",1450,1507
23,GULF,337905,9510,347415,"0,9726263978239281",1877,1930
24,HAMILTON,249433,30616,280049,"0,8906762745091038",1386,1556
25,HARDEE,873010,51187,924197,"0,9446146222071701",4850,5134
26,HENDRY,1147728,91880,1239608,"0,9258797942575395",6376,6887
27,HERNANDO,3678046,286055,3964101,"0,9278386196517193",20434,22023
28,HIGHLANDS,2068535,106084,2174619,"0,9512172017259115",11492,12081
29,HILLSBOROUGH,33924123,2152764,36076887,"0,9403284435267377",188467,200427
30,HOLMES,568631,23779,592410,"0,9598605695379889",3159,3291
31,"INDIAN RIVER",3158705,199682,3358387,"0,9405422900934288",17548,18658
32,JACKSON,1156404,79169,1235573,"0,9359252751557374",6424,6864
33,JEFFERSON,164727,15292,180019,"0,9150534110288359",915,1000
34,LAFAYETTE,195623,17702,213325,"0,9170186335403727",1087,1185
35,LAKE,7020985,431822,7452807,"0,9420591463055463",39005,41404
36,LEE,14450796,918074,15368870,"0,9402640532452939",80282,85383
37,LEON,5638147,334911,5973058,"0,9439297257786547",31323,33184
38,LEVY,967738,38760,1006498,"0,9614902364435896",5376,5592
39,LIBERTY,248138,19358,267496,"0,92763256272991",1379,1486
40,MADISON,447648,31388,479036,"0,9344767407877488",2487,2661
41,MANATEE,7690948,504600,8195548,"0,938429986622005",42727,45531
42,MARION,6968465,499099,7467564,"0,933164416133561",38714,41486
43,MARTIN,3165116,159842,3324958,"0,9519266108023019",17584,18472
44,MONROE,1417276,80391,1497667,"0,9463225136161777",7874,8320
45,NASSAU,1852010,128537,1980547,"0,9351002526069818",10289,11003
46,OKALOOSA,5091535,284796,5376331,"0,9470278150657019",28286,29869
47,OKEECHOBEE,1096291,66232,1162523,"0,9430273637596848",6091,6458
48,ORANGE,31146009,1992631,33138640,"0,9398698618893232",173033,184104
49,OSCEOLA,9495003,637103,10132106,"0,937120377540464",52750,56289
50,"PALM BEACH",31038866,1363182,32402048,"0,9579291407752991",172438,180011
51,PASCO,11264875,702822,11967697,"0,9412734129214668",62583,66487
52,PINELLAS,17240091,1253023,18493114,"0,9322438070732706",95778,102740
53,POLK,16474152,866942,17341094,"0,9500064990132687",91523,96339
54,PUTNAM,1721629,255970,1977599,"0,8705652662647989",9565,10987
55,"SAINT JOHNS",5532127,317051,5849178,"0,9457956314545394",30734,32495
56,"SAINT LUCIE",6553607,501548,7055155,"0,9289104208199537",36409,39195
57,"SANTA ROSA",4373733,257624,4631357,"0,9443739707390296",24299,25730
58,SARASOTA,6821456,348312,7169768,"0,9514193485758535",37897,39832
59,SEMINOLE,11044894,556269,11601163,"0,9520505832044598",61361,64451
60,SUMTER,1352635,76833,1429468,"0,9462506331026648",7515,7941
61,SUWANNEE,977558,92507,1070065,"0,9135501114418283",5431,5945
62,TAYLOR,486723,48167,534890,"0,9099497092860215",2704,2972
63,UNION,393094,20355,413449,"0,950767809330776",2184,2297
64,VOLUSIA,10199489,691581,10891070,"0,936500178586677",56664,60506
65,WAKULLA,840230,62079,902309,"0,9311998439558954",4668,5013
66,WALTON,1309314,74786,1384100,"0,945967776894733",7274,7689
67,WASHINGTON,557815,49696,607511,"0,9181973659736202",3099,3375
68,DEAF/BLIND,99129,7097,106226,"0,9331896145952968",551,590
69,"WASH. SPECIAL",14705,272,14977,"0,981838819523269",82,83
71,"FL VIRTUAL",831928,32296,864224,"0,9626300588736254",4622,4801
72,"FAU LAB",388186,15769,403955,"0,9609634736542436",2157,2244
73,"FSU LAB",404728,18110,422838,"0,9571703583878459",2248,2349
74,"FAMU LAB",75740,4670,80410,"0,9419226464370103",421,447
75,"UF LAB",195613,9753,205366,"0,952509178734552",1087,1141
